pid,text_cluster_label,text_cl_mean_pop_train,text_cl_median_pop_train,text_cl_std_pop_train,text_cl_valid_pop_count_train,text_cl_total_items_train,visual_cluster_label,vis_cl_mean_pop_train,vis_cl_median_pop_train,vis_cl_std_pop_train,vis_cl_valid_pop_count_train,vis_cl_total_items_train,user_cluster_label,user_cl_mean_pop_train,user_cl_median_pop_train,user_cl_std_pop_train,user_cl_valid_pop_count_train,user_cl_total_items_train,audio_cluster_label,audio_cl_mean_pop_train,audio_cl_median_pop_train,audio_cl_std_pop_train,audio_cl_valid_pop_count_train,audio_cl_total_items_train
POST00003480,46,8.9350,9.5200,2.4169,10,10,255,9.3229,9.7300,2.6824,24,24,212,7.0279,7.6500,2.8146,47,47,17,8.9421,9.1200,2.0841,28,28
POST00000014,46,8.9350,9.5200,2.4169,10,10,14,6.1557,5.3500,2.6355,23,23,18,11.5900,11.5900,0.0000,1,1,257,8.0114,8.6000,3.0252,35,35
POST00001861,258,8.2650,8.5050,2.7817,10,10,123,8.2181,8.2600,2.0046,21,21,80,7.7191,7.9000,2.7339,92,92,38,7.8445,8.1600,3.0627,20,20
POST00003570,173,8.8014,8.9000,2.4927,21,21,118,6.6090,6.2950,2.9578,10,10,37,7.9380,8.0250,2.8431,208,208,235,8.8356,10.0300,2.6139,27,27
POST00000779,173,8.8014,8.9000,2.4927,21,21,257,6.6107,6.9350,2.9170,14,14,163,9.0450,8.6900,1.4956,8,8,93,8.8540,10.9000,4.0375,5,5
POST00003722,173,8.8014,8.9000,2.4927,21,21,284,8.7294,8.9400,2.8059,17,17,291,9.1751,9.5700,2.3178,71,71,162,9.2767,9.9600,2.0421,12,12
POST00002934,263,10.6552,10.7000,1.8079,25,25,64,7.2518,7.4900,3.0964,17,17,167,7.8588,8.7300,3.0201,74,74,163,7.7015,8.9600,3.2102,13,13
POST00003007,173,8.8014,8.9000,2.4927,21,21,257,6.6107,6.9350,2.9170,14,14,173,7.0037,7.2500,3.2126,551,551,151,9.3718,10.0100,2.3917,40,40
POST00002743,229,9.9477,10.5900,2.4366,30,30,275,7.1335,7.3700,2.8158,23,23,32,8.5188,8.8200,2.2161,51,51,173,7.3360,7.2400,3.2180,42,42
POST00003072,229,9.9477,10.5900,2.4366,30,30,103,8.5706,10.3400,3.1686,36,36,167,7.8588,8.7300,3.0201,74,74,9,8.2082,7.9450,2.8896,22,22
POST00003211,122,8.0853,8.1500,2.5878,17,17,235,8.5953,9.3400,3.6824,19,19,292,8.1544,8.0950,2.6865,126,126,290,10.2000,11.0200,2.2895,7,7
POST00002289,1,7.8082,8.2500,3.3869,11,11,70,9.2457,9.9000,2.5642,40,40,0,10.5390,10.9900,2.0203,63,63,15,10.0000,10.5700,2.7783,17,17
POST00002896,119,9.5870,10.5400,3.2593,23,23,0,9.8451,10.3900,2.8506,35,35,173,7.0037,7.2500,3.2126,551,551,139,9.9721,9.6750,2.4116,14,14
POST00001204,72,8.3136,9.6600,3.3287,11,11,193,8.2947,8.3650,2.4029,38,38,135,6.7740,6.9300,2.4607,117,117,102,7.5867,8.7600,3.2382,6,6
POST00001007,233,7.7300,8.3800,2.5991,8,8,212,8.0742,8.1000,2.3784,19,19,37,7.9380,8.0250,2.8431,208,208,142,9.2989,10.1800,3.1808,9,9
POST00003737,4,9.8427,10.0800,2.0137,15,15,65,8.3179,8.8350,2.6396,28,28,155,10.0731,10.2800,1.9949,49,49,88,8.3077,8.1800,2.6600,13,13
POST00001899,142,8.8143,8.9050,2.6238,28,28,212,8.0742,8.1000,2.3784,19,19,173,7.0037,7.2500,3.2126,551,551,102,7.5867,8.7600,3.2382,6,6
POST00001712,28,8.2454,8.8800,2.8299,24,24,116,9.0123,9.0600,1.7360,13,13,40,10.7950,10.6000,1.1901,8,8,201,9.5778,10.5200,3.3467,9,9
POST00000838,149,9.4833,10.5400,3.1358,15,15,91,9.0378,10.1800,3.0452,68,68,37,7.9380,8.0250,2.8431,208,208,45,9.6706,10.7500,2.7774,16,16
POST00002972,130,8.7867,8.4400,2.1156,15,15,222,7.3011,7.8100,2.9165,9,9,52,9.8238,10.1500,1.8190,8,8,164,9.9536,10.6200,2.3623,11,11
POST00000777,142,8.8143,8.9050,2.6238,28,28,153,8.8058,8.6950,2.5731,24,24,50,7.9657,9.7300,3.4159,7,7,115,8.5252,8.8500,2.1127,31,31
POST00003577,224,8.6746,8.2550,2.4658,24,24,123,8.2181,8.2600,2.0046,21,21,135,6.7740,6.9300,2.4607,117,117,69,7.8389,8.1200,2.6549,38,38
POST00003094,142,8.8143,8.9050,2.6238,28,28,123,8.2181,8.2600,2.0046,21,21,175,8.0062,8.3400,2.9708,73,73,39,8.1068,8.3550,2.6948,22,22
POST00000280,10,7.9533,8.3400,3.4133,15,15,272,9.1325,10.3350,2.6237,12,12,79,10.5600,10.2100,1.5548,3,3,204,8.3570,8.4100,2.4246,23,23
POST00001726,10,7.9533,8.3400,3.4133,15,15,153,8.8058,8.6950,2.5731,24,24,291,9.1751,9.5700,2.3178,71,71,252,9.0961,9.5600,2.5233,18,18
POST00001126,130,8.7867,8.4400,2.1156,15,15,228,8.1888,8.3250,2.0020,32,32,272,9.1315,8.6050,2.1645,20,20,187,9.9500,9.8350,1.3289,10,10
POST00001882,164,8.1406,8.5200,2.5581,17,17,156,8.2022,8.2600,2.1207,23,23,53,7.1493,6.6300,3.0212,56,56,172,7.7414,8.1650,2.6974,14,14
POST00001184,164,8.1406,8.5200,2.5581,17,17,284,8.7294,8.9400,2.8059,17,17,173,7.0037,7.2500,3.2126,551,551,115,8.5252,8.8500,2.1127,31,31
POST00002324,164,8.1406,8.5200,2.5581,17,17,284,8.7294,8.9400,2.8059,17,17,127,9.4183,10.2500,2.9337,12,12,115,8.5252,8.8500,2.1127,31,31
POST00003049,108,9.4545,10.4900,3.0929,11,11,150,8.9213,9.7100,2.6593,15,15,37,7.9380,8.0250,2.8431,208,208,131,8.0768,8.6200,3.0396,19,19
POST00003389,152,9.6290,10.2500,1.8195,10,10,284,8.7294,8.9400,2.8059,17,17,219,8.2200,10.2200,3.4826,5,5,97,8.2269,8.1400,2.1386,29,29
POST00003071,83,8.3258,8.8650,2.3678,38,38,40,8.9044,8.8950,2.4435,18,18,175,8.0062,8.3400,2.9708,73,73,76,6.7719,6.5050,3.1032,16,16
POST00001690,174,6.7263,7.1800,3.1053,16,16,259,8.6889,9.7800,2.8736,19,19,167,7.8588,8.7300,3.0201,74,74,60,7.1211,7.4800,3.0190,27,27
POST00002479,83,8.3258,8.8650,2.3678,38,38,15,9.5962,9.8000,2.2034,16,16,279,10.8562,10.9800,1.8521,29,29,40,8.0856,8.2000,3.2823,9,9
POST00001630,83,8.3258,8.8650,2.3678,38,38,119,9.6916,9.5400,1.3575,19,19,240,7.4738,7.4900,2.9720,177,177,52,8.0744,7.7700,3.1733,16,16
POST00003478,164,8.1406,8.5200,2.5581,17,17,284,8.7294,8.9400,2.8059,17,17,242,7.3911,7.3900,2.4989,19,19,285,6.9479,7.1600,3.5107,14,14
POST00000467,164,8.1406,8.5200,2.5581,17,17,284,8.7294,8.9400,2.8059,17,17,3,7.6950,7.6950,1.7466,2,2,49,7.7263,7.7500,2.2051,24,24
POST00001657,108,9.4545,10.4900,3.0929,11,11,255,9.3229,9.7300,2.6824,24,24,88,11.0450,11.0450,1.5627,2,2,110,9.0417,9.4600,2.4488,29,29
POST00001468,245,6.2056,6.3200,2.7491,9,9,54,9.5055,10.1300,2.1510,11,11,149,10.1367,10.1700,0.7006,3,3,130,7.9323,8.1400,2.5892,31,31
POST00001785,164,8.1406,8.5200,2.5581,17,17,284,8.7294,8.9400,2.8059,17,17,219,8.2200,10.2200,3.4826,5,5,173,7.3360,7.2400,3.2180,42,42
POST00001376,164,8.1406,8.5200,2.5581,17,17,156,8.2022,8.2600,2.1207,23,23,70,7.8922,8.4500,2.7427,73,73,104,9.1060,8.4100,2.2865,15,15
POST00002013,164,8.1406,8.5200,2.5581,17,17,255,9.3229,9.7300,2.6824,24,24,61,9.5475,9.9150,1.7830,4,4,97,8.2269,8.1400,2.1386,29,29
POST00001889,95,7.0800,7.0800,0.0000,1,1,124,7.0452,6.6700,2.4794,25,25,158,7.9362,8.0950,2.6864,42,42,145,7.9111,9.2400,3.4661,27,27
POST00001308,33,9.7792,9.8350,1.9210,26,26,110,8.7781,10.0150,3.3102,26,26,77,7.8215,6.9500,2.2394,13,13,229,9.3219,10.4600,2.8949,16,16
POST00003516,224,8.6746,8.2550,2.4658,24,24,3,8.5250,9.5150,2.7164,6,6,240,7.4738,7.4900,2.9720,177,177,298,8.0667,8.4050,2.9319,24,24
POST00003806,128,8.1125,8.6400,2.8079,12,12,153,8.8058,8.6950,2.5731,24,24,173,7.0037,7.2500,3.2126,551,551,115,8.5252,8.8500,2.1127,31,31
POST00003259,128,8.1125,8.6400,2.8079,12,12,228,8.1888,8.3250,2.0020,32,32,188,9.0603,8.9150,2.3577,34,34,122,8.9985,9.6850,2.9635,20,20
POST00003307,10,7.9533,8.3400,3.4133,15,15,228,8.1888,8.3250,2.0020,32,32,41,9.8862,10.2100,2.2754,21,21,285,6.9479,7.1600,3.5107,14,14
POST00003621,142,8.8143,8.9050,2.6238,28,28,228,8.1888,8.3250,2.0020,32,32,188,9.0603,8.9150,2.3577,34,34,51,7.7885,8.2650,2.4256,34,34
POST00001940,96,8.2962,8.6300,2.6534,21,21,123,8.2181,8.2600,2.0046,21,21,240,7.4738,7.4900,2.9720,177,177,24,9.5000,9.5200,2.0001,3,3
POST00001472,224,8.6746,8.2550,2.4658,24,24,228,8.1888,8.3250,2.0020,32,32,32,8.5188,8.8200,2.2161,51,51,69,7.8389,8.1200,2.6549,38,38
POST00003696,37,8.3614,9.2200,2.9014,7,7,272,9.1325,10.3350,2.6237,12,12,24,8.9720,9.7000,1.5445,5,5,299,8.1971,9.9000,2.9224,24,24
POST00003355,224,8.6746,8.2550,2.4658,24,24,153,8.8058,8.6950,2.5731,24,24,199,7.9763,7.8400,2.2405,46,46,55,9.9110,10.3850,1.5705,10,10
POST00003272,266,8.1114,8.2000,2.7243,7,7,68,8.2361,8.6300,2.0590,33,33,173,7.0037,7.2500,3.2126,551,551,169,8.4896,8.7050,2.4051,24,24
POST00001421,168,9.1113,9.9600,3.0394,16,16,68,8.2361,8.6300,2.0590,33,33,173,7.0037,7.2500,3.2126,551,551,10,7.4537,8.0750,2.8722,30,30
